,author,name,pid
487,Joe K. Kearney,Joe K. Kearney,33/6960
488,Joe Konstan,Joe Konstan,09/3004
489,Joe LaViola,Joseph J. LaViola Jr.,48/4693
492,John A. Halderman,J. Alex Halderman,h/JAlexHalderman
493,John A. Kapenga,John A. Kapenga,28/2399
501,Jonathan Mace [SWS],Jonathan Mace,154/0937
512,Joël Ouaknine [SWS],Joël Ouaknine,55/4663
527,Karol Myszkowski [INF],Karol Myszkowski,m/KMyszkowski
530,Katherine J. Kuchenbecker [IS],Katherine J. Kuchenbecker,k/KatherineJKuchenbecker
542,Krishna P. Gummadi [SWS],Krishna P. Gummadi,g/PKrishnaGummadi
544,Kurt Mehlhorn [INF],Kurt Mehlhorn,m/KurtMehlhorn
569,Manuel Gomez-Rodriguez [SWS],Manuel Gomez-Rodriguez,73/8260
571,Marcel Böhme [SP],Marcel Böhme,91/7541
579,Maria Christakis [SWS],Maria Christakis,05/7730
590,Martin Vingron [MG],Martin Vingron,36/6567
599,Metin Sitti [IS],Metin Sitti,25/3694
603,Michael Julian Black [IS],Michael J. Black,b/MichaelJBlack
609,Michael Sonntag,Michael Sonntag,33/886
610,Michael Stumm,Michael Stumm,82/5150
613,Michael Wybrow,Michael Wybrow,33/6209
614,Michael Yacci,Michael Yacci,03/2412
616,Michele Lanza,Michele Lanza,53/6708
617,Michele Nappi,Michele Nappi,35/2888
618,Michele Parrinello,Michele Parrinello,72/809
619,Michele Risi,Michele Risi,05/4697
630,Mor Naaman [Tech],Mor Naaman,42/241
640,Nicola Lee Dell [Tech],Nicola Dell,75/11301
642,Noah Snavely [Tech],Noah Snavely,33/4636
648,P. Krishna Gummadi [SWS],Krishna P. Gummadi,g/PKrishnaGummadi
667,Peter Druschel [SWS],Peter Druschel,d/PDruschel
673,Peter Schwabe [SP],Peter Schwabe,30/1431
689,Rajalakshmi Nandakumar [Tech],Rajalakshmi Nandakumar,118/3387
690,Ramin Zabih [Tech],Ramin Zabih,z/RaminZabih
708,Ron Brachman [Tech],Ronald J. Brachman,b/RJBrachman
714,Rupak Majumdar [SWS],Rupak Majumdar,71/1981
737,Shiri Azenkot [Tech],Shiri Azenkot,99/8732
759,Tanzeem Choudhury [Tech],Tanzeem Choudhury,86/45
763,Thomas Lengauer [INF],Thomas Lengauer,l/TLengauer
765,Thomas Ristenpart [Tech],Thomas Ristenpart,26/3399
782,Viktor Vafeiadis [SWS],Viktor Vafeiadis,69/1549
783,Vitaly Shmatikov [Tech],Vitaly Shmatikov,46/6275
784,Volodymyr Kuleshov [Tech],Volodymyr Kuleshov,81/8612
799,Yoav Artzi [Tech],Yoav Artzi,32/10489
