institution,name,lat,lon,fuzz-ratio
Universidad Nacional de Córdoba,Universidad Nacional de Córdoba,-31.4369591,-64.18767563997622,100.0
Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,40.33611785,-3.8771203152794294,100.0
Universidad de los Andes,Universidad de los Andes,4.694193,-74.033362,100.0
Universidade Federal de Viçosa,Universidade Federal de Viçosa,-20.76763505,-42.858785454528096,100.0
Universidade NOVA de Lisboa,Universidade nova de Lisboa,38.7328407,-9.1602002,85.0
Universidade de Brasília,Universidade de Brasília,-15.76387,-47.86926,100.0
University of Aberdeen,University of Aberdeen,57.164909,-2.10258,100.0
University of Adelaide,University of Adelaide,-34.9189226,138.60423667410745,100.0
University of Alberta,University of Alberta,53.52682,-113.5244937350756,100.0
University of Amsterdam,University of Amsterdam,52.36813335,4.889804155733945,100.0
University of Bayreuth,University of Bayreuth,49.9270796,11.587226615128671,100.0
University of Bern,University of Bern,46.95097255,7.438684130809055,100.0
University of Bonn,University of Bonn,50.7338124,7.1022465,100.0
University of Bremen,University of Bremen,53.107964550000005,8.855664592828369,100.0
University of Calgary,University of Calgary,51.0783651,-114.1283072,100.0
University of Canterbury,University of Canterbury,-43.5240781,172.5803074154386,100.0
University of Cape Town,University of Cape Town,-33.95675585,18.467577702002977,100.0
University of Copenhagen,University of Copenhagen,55.6801502,12.57232700140625,100.0
University of Crete,University of Crete,35.3072756,25.08249485321918,100.0
University of Exeter,University of Exeter,50.736854,-3.533407,100.0
University of Guelph,University of Guelph,43.535193,-80.22009972637464,100.0
University of Helsinki,University of Helsinki,60.171039300000004,24.949155335163038,100.0
University of Hong Kong,The University of Hong Kong,22.283269,114.136744,92.0
University of Ioannina,University of Ioannina,39.615659050000005,20.83952573354071,100.0
University of Kent,University of Kent,51.295015750000005,1.0673010856199983,100.0
University of Klagenfurt,University of Klagenfurt,46.616402550000004,14.264680917308162,100.0
University of Konstanz,University of Konstanz,47.690088599999996,9.188243876500252,100.0
University of Luxembourg,University of Luxembourg,49.62319225,6.112759617239071,100.0
University of Lübeck,University of Lübeck,53.8344,10.70392,100.0
University of Malaya,University of Malaya,3.1255683000000003,101.65582254721087,100.0
University of Manitoba,University of Manitoba,49.815622,-97.118363,100.0
University of Melbourne,University of Melbourne,-37.7970796,144.96130134414312,100.0
University of New Brunswick,University of New Brunswick,45.945530250000004,-66.64018313486694,100.0
University of Nicosia,University of Nicosia,35.1660481,33.314940552800635,100.0
