institution,name,lat,lon,fuzz-ratio
Massey University,Massey University,-40.3844693,175.6164996,100
Max Planck Society,Construction of Semiconductor Laboratory of the Max Planck Society,48.2633373,11.676567235061134,43
McGill University,McGill University,45.50691775,-73.5791162596496,100
McMaster University,McMaster University,43.263939699999995,-79.91782519029299,100
Memorial University of Newfoundland,Memorial University of Newfoundland and Labrador,47.585546,-52.736413,84
Middle East Technical University,Middle East Technical University,39.875496749999996,32.78553505584672,100
Middlesex University,Middlesex University,51.590297050000004,-0.2296322094540291,100
Monash University,Monash University,-37.783974549999996,144.95867432609305,100
Mälardalen University,Mälardalens Högskola,59.6176801,16.542068739683224,59
NTNU,Norwegian University of Science and Technology,63.408683249999996,10.468908740551136,8
NYU Shanghai,NYU Park,31.2272221,121.5297393,50
Nanjing University,Nanjing University,32.0565957,118.77408832807794,100
Nanyang Technological University,Nanyang Technological University,1.3484104000000001,103.68293320728537,100
National Taiwan University,National Univ,34.185192,-118.596773,67
National University of Singapore,National University of Singapore,1.2962018,103.77689943784759,100
Newcastle University,Newcastle University,54.98017505,-1.6146802127187847,100
Ontario Tech University,Ontario Tech University,43.94833105,-78.89816678087453,100
Open University UK,The Open University,52.024788,-0.710401,81
Osaka University,Osaka Prefecture University,34.54561785,135.50620785722236,74
POSTECH,Postech,25.260404,55.293652,14
PUC-RIO,Pontificia Universidade Católica do Rio de Janeiro,-22.97964355,-43.23315196475536,14
PUC-RS,Pontifical Catholic University of Rio Grande do Sul,-30.05516275,-51.17350846885846,14
Paderborn University,University of Paderborn,51.70752095,8.772403972858978,47
Politecnico di Milano,Politecnico di Milano,45.4784768,9.2295647,100
Qatar University,Qatar University,25.3719714,51.48795786318291,100
Queen Mary University of London,Queen Mary University of London,51.5247272,-0.03931034663016243,100
Queen's University Belfast,Queen's University,54.5842117,-5.9364324,82
Queensland University of Technology,Queensland University of Technology,-27.4561036,153.01387368150728,100
RMIT University,RMIT University,-37.8057346,144.9653216297798,100
RWTH Aachen,RWTH Aachen University,50.7791645,6.068920971222876,67
Ryerson University,Toronto Metropolitan University,43.6583244,-79.37892515687948,61
SUTD,SUTD Multifunction Sport Center,1.3416142500000001,103.96485519124263,23
Saarland University,Saarland University,49.25437635,7.041481352041722,100
Sabancı University,Sabancı Üniversitesi,40.8927159,29.378633226358197,84
Sapienza University of Rome,Sapienza University of Rome,41.90386,12.51489,100
Scuola Superiore Sant'Anna,Scuola Superiore,41.225046,15.386151,76
Seoul National University,Seoul National University,37.45917,126.95194,100
Shandong University,Shandong University,36.3688722,120.6738368,100
ShanghaiTech University,ShanghaiTech University,31.179430500000002,121.59023445501072,100
Sharif University of Technology,University of Technology,18.016475,-76.743473,87
Shenzhen University,Shenzhen University,22.53590225,113.93147487492186,100
Simon Fraser University,Simon Fraser University,49.276709600000004,-122.91780296438841,100
Singapore Management University,Singapore Management University,1.29616795,103.85004365998248,100
Soochow University,Soochow Household Hotel,33.6333,116.9666,49
South Asian University,South Asian University,28.484981949999998,77.20071960427245,100
Stellenbosch University,Stellenbosch University,-33.931521950000004,18.867665592062465,100
Sun Yat-sen University,Sun Yat-sen University (South Campus),23.09960335,113.29235087324346,75
TOBB ETÜ,TOBB ETÜ Ağaçlandırma Arazisi,39.91925005,32.79371831367338,43
TU Berlin,Technische Universität Berlin,52.51101585,13.326954140959668,47
TU Chemnitz,TU Campus,50.8139093,12.930433,50
TU Clausthal,Technische Universität Clausthal,51.80195535,10.34550527586038,55
TU Crete,Tavern,35.3104602,25.564606,29
TU Darmstadt,Tunnel,49.93146155,8.678997963056037,11
TU Dresden,Dresden University of Technology,51.028276500000004,13.735982754935176,33
TU Freiberg,TU Bergakademie Freiberg,50.9248208,13.331843035967744,63
TU Munich,TU München Institut für Pharmakologie,48.1649995,11.593086150000001,30
TU Wien,State Hall of the Austrian National Library,48.2061679,16.3666909,12
Tampere University,Tampere University Library,61.4952774,23.7780918,82
The Catholic University of Korea,The Catholic University of Korea,37.48601,126.80154,100
The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,22.304486699999998,114.17969345666262,100
Tokyo Institute of Technology,Tokyo Institute of Technology,35.514745649999995,139.48399813369707,100
Tongji University,Tongji University,31.28473925,121.49694908588742,100
Trinity College Dublin,Trinity College Dublin,53.34366745,-6.254444724511822,100
Tsinghua University,Tsinghua University,40.002290450000004,116.3209629696906,100
UESTC,"University of Science and Technology of China, East Campus",31.839071949999997,117.26420747857581,10
UNIST,UNIST Main Building,35.573814,129.190789,42
UNSW,UNSW,-33.9175545,151.2291515,100
USP,University of São Paulo,-23.56096405,-46.72770807289966,23
Universidad Nacional de Córdoba,Universidad Nacional de Córdoba,-31.4369591,-64.18767563997622,100
Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,40.33611785,-3.8771203152794294,100
Universidad de Zaragoza,Universidad de Alcalá de Henares,40.482867,-3.363108,62
Universidad de los Andes,Universidad de los Andes,4.694193,-74.033362,100
Universidade Federal de Viçosa,Universidade Federal de Viçosa,-20.76763505,-42.858785454528096,100
Universidade NOVA de Lisboa,Universidade nova de Lisboa,38.7328407,-9.1602002,85
Universidade de Brasília,Universidade de Brasília,-15.76387,-47.86926,100
Universidade de Lisboa,Universidade Autónoma de Lisboa Luís de Camões,38.724267,-9.145577,65
University College London,University College Hospital,51.52484825,-0.1365251134385993,77
University of A Coruña,Higher Technical University College of Maritime and Naval Machines - UDC,43.3706459,-8.42022351645989,34
University of Aberdeen,University of Aberdeen,57.164909,-2.10258,100
University of Adelaide,University of Adelaide,-34.9189226,138.60423667410745,100
University of Alberta,University of Alberta,53.52682,-113.5244937350756,100
University of Amsterdam,University of Amsterdam,52.36813335,4.889804155733945,100
University of Athens,National and Kapodistrian University of Athens - Campus,37.97003795,23.76523669720041,53
University of Auckland,Waipapa Taumata Rau / University of Auckland,-36.8660955,174.77373309361866,67
University of Bayreuth,University of Bayreuth,49.9270796,11.587226615128671,100
University of Bergen,Western Norway University of Applied Sciences,60.36887575,5.351111541486731,52
University of Bern,University of Bern,46.95097255,7.438684130809055,100
University of Birmingham,University,52.451179,-1.9366088,59
University of Bonn,University of Bonn,50.7338124,7.1022465,100
University of Bremen,University of Bremen,53.107964550000005,8.855664592828369,100
University of Bristol,University of Bristol Temple Quarter Enterprise Campus,51.44962135,-2.578381992712973,56
University of Buenos Aires,National University of Comahue,-38.9394882,-68.05033651504556,57
University of Calgary,University of Calgary,51.0783651,-114.1283072,100
University of Cambridge,University,50.7945542,-1.0970158,61
University of Canterbury,University of Canterbury,-43.5240781,172.5803074154386,100
University of Cape Town,University of Cape Town,-33.95675585,18.467577702002977,100
University of Chinese Academy of Sciences,Yo San University of Traditional Chinese Medicine,33.99323,-118.442926,58
University of Copenhagen,University of Copenhagen,55.6801502,12.57232700140625,100
University of Crete,University of Crete,35.3072756,25.08249485321918,100
University of Düsseldorf,Düsseldorf University of Applied Science,51.24812155,6.79124852501046,50
