92/6595;Georgios Papaioannou;AUEB;gr;http://www.aueb.gr/users/gepap;8YSbfqcAAAAJ
74/5935;Ioannis Kontoyiannis;AUEB;gr;http://pages.cs.aueb.gr/~yiannisk;K7lsKjcAAAAJ
m/EvangelosMarkakis;Evangelos Markakis;AUEB;gr;http://pages.cs.aueb.gr/~markakis;NOSCHOLARPAGE
m/NicosMalevris;Nicos Malevris;AUEB;gr;http://www.cs.aueb.gr/en/content/malevris-nikolaos;NOSCHOLARPAGE
02/668;George D. Stamoulis;AUEB;gr;http://nes.aueb.gr/users/gs.html;5uRFCLsAAAAJ
k/VanaKalogeraki;Vana Kalogeraki;AUEB;gr;http://www2.cs.aueb.gr/~vana;2lpWTDYAAAAJ
k/TheodoreKalamboukis;T. Z. Kalamboukis;AUEB;gr;https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore;NOSCHOLARPAGE
k/YannisKotidis;Yannis Kotidis;AUEB;gr;http://www.db-net.aueb.gr/kotidis;ykqoK38AAAAJ
68/4039;P. Vassalos;AUEB;gr;http://pubs.dbs.uni-leipzig.de/aa/aff/Greece/Athens/Athens%20University%20of%20Economics%20and%20Business;NOSCHOLARPAGE
55/3476;Eugénie Foustoucos;AUEB;gr;https://uregister-ldap.aueb.gr/en/content/applied-mathematics-informatics-finance-and-operational-research-sector;t1TycUYAAAAJ
03/1746;Iordanis Koutsopoulos;AUEB;gr;http://www.cs.aueb.gr/~jordan;Bq_GqyIAAAAJ
27/176;Emmanouel A. Giakoumakis;AUEB;gr;https://www-1.aueb.gr/en/content/new-rector-athens-university-economics-and-business;NOSCHOLARPAGE
89/2228;Antonis Dimakis;AUEB;gr;http://nes.aueb.gr/dimakis.html;DlAhQuIAAAAJ
33/3463;Ioannis Milis;AUEB;gr;https://uregister-ldap.aueb.gr/en/faculty/milis-ioannis;CS8EIi0AAAAJ
87/4429;Stavros Toumpis;AUEB;gr;https://195.251.255.130/en/faculty/toumpis-stavros;LyiVPKEAAAAJ
87/6723;Ion Androutsopoulos;AUEB;gr;http://www.aueb.gr/users/ion;4UJm5EQAAAAJ
19/5385;Michalis K. Titsias;AUEB;gr;http://www.aueb.gr/users/mtitsias;B-SbkAwAAAAJ
78/4276;Giannis F. Marias;AUEB;gr;http://www.scirp.org/journal/DetailedInforOfEditorialBoard.aspx?personID=953;EO_hUg4AAAAJ
78/1518;Vasilios A. Siris;AUEB;gr;http://www.aueb.gr/users/vsiris;Vj3O0cEAAAAJ
p/GCPolyzos;George C. Polyzos;AUEB;gr;http://niovi.aueb.gr/~gcp;y-Mxxa0AAAAJ
y/EJYannakoudakis;E. J. Yannakoudakis;AUEB;gr;http://www.aueb.gr/Users/yannakoudakis/english;37tD5JsAAAAJ
v/MVazirgiannis;Michalis Vazirgiannis;AUEB;gr;http://www.db-net.aueb.gr/michalis;aWGJYcMAAAAJ
v/VVassalos;Vasilis Vassalos;AUEB;gr;https://www.aueb.gr/en/faculty_page/vassalos-vasilios;oaM-d7QAAAAJ
51/308;George Xylomenos;AUEB;gr;http://pages.cs.aueb.gr/~xgeorge;f7tP8gcAAAAJ
51/3289;P. Katerinis;AUEB;gr;http://www.aueb.gr/pages_en/graduate/masters.php;NOSCHOLARPAGE
c/PConstantopoulos;Panos Constantopoulos;AUEB;gr;https://uregister-ldap.aueb.gr/en/faculty/constantopoulos-panos;EAagfCoAAAAJ
77/6335;Theodore K. Apostolopoulos;AUEB;gr;http://ieeexplore.ieee.org/document/4114886;WTg8mXoAAAAJ
