f/JohannesFurnkranz;JKU Linz
f/BoiFaltings;EPFL
f/JCFreytag;Humboldt University of Berlin
f/CarlaMDSFreitas;UFRGS
f/AFinkelstein;City University of London
f/MFelleisen;Northeastern University
f/TrevorIFenner;Birkbeck University of London
f/HannesFrey;University of Koblenz-Landau
f/PeterAFlach;University of Bristol
f/BorkoFurht;Florida Atlantic University
f/MichaelJFischer;Yale University
f/DianaFranklin;University of Chicago
f/AmyPFelty;University of Ottawa
f/DavidFinkel;Worcester Polytechnic Institute
f/YoavFreund;Univ. of California - San Diego
f/WolfgangFaber;University of Klagenfurt
f/LanceFortnow;Illinois Institute of Technology
f/GSFrandsen;Aarhus University
f/AdamFinkelstein;Princeton University
f/RAFinkel;University of Kentucky
f/CormacFlanagan;Univ. of California - Santa Cruz
f/MortenFjeld;Chalmers/GU
f/RBFindler;Northwestern University
f/VladimirFilkov;Univ. of California - Davis
f/FEFich;University of Toronto
f/JamesDFoley;Georgia Institute of Technology
f/BabakFalsafi;EPFL
f/MJFranklin;University of Chicago
259/0296;University of Guelph
321/5073;Univ. of Illinois at Urbana-Champaign
178/9755;TU Delft
178/5047;BITS Pilani-Goa
178/4974;University of Edinburgh
178/5585;DTU
178/7267;Soochow University
178/1987;University of Vermont
178/7275;Soochow University
178/8600;George Mason University
178/0924;KAIST
178/5284;New York University
178/8842;Wichita State University
178/3641;Northern Arizona University
178/4790;University of Western Australia
145/4489;University of Georgia
145/0912;EPFL
145/8377;LMU Munich
145/7686;TU Delft
145/3950;University of Adelaide
145/0209;CRIStAL
145/9809;Duke University
145/6877;University of Kansas
145/6563;Massachusetts Institute of Technology
145/9324;University of Copenhagen
145/4101;IIIT Delhi
145/9784;EURECOM
145/5160;Hacettepe University
145/7395;Bocconi University
145/3870;University of Pennsylvania
145/4639;Université Jean Monnet
145/0641;Nanjing University
145/7511;Polytechnique Montreal
145/0881;University of Malaya
145/0651;University of Illinois at Chicago
145/7863;University of Pennsylvania
145/3288-1;University of Virginia
145/0249-1;Pennsylvania State University
145/5081;Max Planck Society
145/0702;University of Jordan
145/4090;Clemson University
145/1733;Graz University of Technology
311/6283;IST Austria
319/4229;Tata Inst. of Fundamental Research
319/7880;University of A Coruña
319/9657;Utrecht University
319/4090;Indiana University
76/1152;University of Ottawa
76/7892;Özyeğin University
76/9083;Northeastern University
76/5521;TU Chemnitz
76/311;University of Siegen
76/5890;CUNY
76/2626;DTU
76/4740;Peking University
76/5043;University College London
76/6965;University of Chicago
76/1584-35;Peking University
76/1906;Univ. of California - Los Angeles
76/4313;DePaul University
76/10943;University of Leipzig
76/11227;Sapienza University of Rome
76/2009;University of Alberta
76/3626;King's College London
76/8610;EPFL
76/819;University of Warsaw
76/1857-1;Univ. of California - Riverside
76/6617;IISc Bangalore
76/3749;Northeastern University
76/2864-1;University of Wisconsin - Madison
76/592;George Mason University
76/4786;University of Augsburg
76/3098;Australian National University
76/3922;Mississippi State University
76/4163;Technion
76/5788;Iowa State University
76/4015-5;Nanjing University
76/2017;University of Tulsa
76/8700;TU Delft
76/3486;Tampere University
76/5895-1;Colorado School of Mines
76/6717;TU Freiberg
76/686;Brno University of Technology
76/2732;NTNU
76/7444;University of Essex
76/5873;UFPE
76/3246;CUNY
76/7597;University of Sydney
76/5110;Czech Technical University
76/4648-1;Hamburg University of Technology
76/1967;George Washington University
76/8070;Middle East Technical University
76/2806;Pennsylvania State University
76/4892;University of Texas at Arlington
76/1427;Sapienza University of Rome
76/4882;University of Sannio
76/1820-2;Univ. of California - Davis
76/6882;Tokyo Institute of Technology
76/6786;University of South Florida
76/761;University of Liverpool
76/4468;University of Surrey
76/8312;Qatar University
76/6409;Istanbul Technical University
76/2789;McMaster University
76/1458;Harbin Institute of Technology
