116/7161;Dalhousie University
116/0652;University of Duisburg-Essen
116/4680;George Washington University
116/8396;Univ. of California - Santa Cruz
116/4509;Univ. of California - Davis
116/2741;Ecole Normale Superieure de Lyon
116/7561;University of Illinois at Chicago
116/4606;University of Technology Sydney
116/6977;McMaster University
116/6719;George Mason University
116/4873;Radboud University
218/4096;Tilburg University
218/7979;Trinity College Dublin
218/7035;National Institute of Technology Silchar
218/3473;Kent State University
218/7793;Zhejiang University
58/5281;Concordia University
58/5935;University of North Texas
58/6589;TU Dresden
58/10440;Shandong University
58/5094;Universidade de Lisboa
58/2239;University of Tokyo
58/2824;University of Salerno
58/6560;Rochester Institute of Technology
58/657;Max Planck Society
58/1722;Beihang University
58/3601;Monash University
58/4211;Seoul National University
58/3949;University of Salerno
58/2406;University of Queensland
58/6143;BUPT
58/2164;Technion
58/1177;Tampere University
58/3489;National Chiao Tung University
58/4124;Queen's University Belfast
58/11098;Univ. of California - Los Angeles
58/3289-1;TU Berlin
58/5730;Ruhr-University Bochum
58/6477;IIIT Bangalore
58/9606;Goethe University Frankfurt
58/2732;University of Missouri - Kansas City
58/1928;TU Eindhoven
58/5271;Ecole Normale Superieure de Cachan
58/2734;Cardiff University
58/3939;North Carolina State University
58/2670-6;George Mason University
58/3313;Dalhousie University
58/3298;Australian National University
58/4155;Charles University
58/2895;University of Southampton
58/6919-1;Zhejiang University
58/1757;Univ. of Illinois at Urbana-Champaign
58/2337;University of Colorado Boulder
58/5387;JKU Linz
58/1769-1;Monash University
58/3135;North Carolina State University
58/1874;University of Illinois at Chicago
58/2597;University of Kansas
58/1234;Brandeis University
58/217;IIIT Hyderabad
58/4277;Sun Yat-sen University
58/4634;UFRGS
58/5190-1;University of Calgary
58/5452;Oklahoma State University
58/2631;University of Augsburg
58/766;University of Massachusetts Amherst
58/1774;Northeastern University
58/4808;ShanghaiTech University
58/11478-2;UNSW
58/10773;New Mexico State University
58/3602;Uppsala University
58/4482;ETS Montreal
58/3276;Tokyo Institute of Technology
58/3960-1;SUTD
58/4227;RMIT University
58/5856;Renmin University of China
58/1326;Stevens Institute of Technology
58/204;University of Sussex
58/8776;TU Eindhoven
58/5863;Tokyo Institute of Technology
58/3375;University of North Texas
58/4785;City University of London
58/488;UFPR
58/4582-3;Univ. of California - San Diego
58/6781;Uppsala University
58/1839;IPI PAN
58/2944;Univ. of California - Berkeley
58/5506;Nova Southeastern University
58/628;Western University
58/6161;National University of Singapore
58/4127;Carnegie Mellon University
58/5090;University of Maryland - College Park
58/4464;Tsinghua University
58/6132;UNSW
58/4781;CRIStAL
58/232;UFPE
58/10052;University of Erlangen–Nuremberg
58/4098;University of Pittsburgh
58/4970;University of A Coruña
58/5154;Technion
58/2865-1;UESTC
58/2891;University of Central Florida
58/3743;IIT Ropar
58/3831;Hasso Plattner Institute
58/10567;University of Technology Sydney
58/5326;Univ. of California - San Diego
58/6957-1;Rochester Institute of Technology
58/4516;Virginia Tech
58/11142;SUFE
58/4172;Hanyang University
58/111;Fudan University
58/461;Middlesex University
58/2526;University of North Texas
58/6206;Concordia University
58/2945;Kyungpook National University
58/2279;Tampere University
58/6005;Peking University
58/6249;Rochester Institute of Technology
58/4016;New York University
58/6522;Texas A&M at Qatar
58/3679;Universidad de Chile
58/6050;Cardiff University
58/1750;University of Liverpool
58/2013;Maastricht University
58/10813;Nanyang Technological University
58/3023;Birkbeck University of London
58/1591;EPFL
58/896;University of Pennsylvania
58/3770;Masaryk University
58/6726;University of Exeter
58/3222;Heriot-Watt University
58/6299-8;Shenzhen University
58/5390;IIIT Bangalore
58/4610;University of Michigan
58/5311;Tsinghua University
58/4840;USP
58/4372;IIT Jodhpur
58/2583;IPI PAN
58/7552;Duke University
58/323;IIT Jodhpur
58/2715;Universidade de Lisboa
58/2305;Goldsmiths University of London
58/2999;Illinois Institute of Technology
58/3801;University of Kiel
58/5551;Washington State University
58/9145-1;City University of Hong Kong
58/6608;RMIT University
58/7956;University of Jordan
58/172;University of Glasgow
58/4132;University of North Texas
58/2340;University of Auckland
55/10359;University of Chicago
55/8615;Hacettepe University
55/5012;University of Connecticut
55/6520;Polytechnic University of Catalonia
55/976;Rochester Institute of Technology
55/4135;National Cheng Kung University
55/4427;Univ. of California - Davis
55/982;University of Tsukuba
55/8398;Peking University
55/5955;University of Oklahoma
55/5701;Université Paris Dauphine
55/6238;The Hong Kong Polytechnic University
55/6753;IUPUI
55/6560;University of Waterloo
55/758;Univ. of California - Los Angeles
55/5194;Yale University
55/9011;Washington State University
55/431;Universidade de Lisboa
55/11040;Fudan University
55/5658;Université Paris Dauphine
55/5533;University of Sydney
55/6061;Sapienza University of Rome
55/6597;Zhejiang University
55/6896;University of Minnesota
55/6683;TU Wien
55/1331;Tsinghua University
55/5814;City University of Hong Kong
55/2293;University of Otago
55/9523;Simon Fraser University
55/5690;Monash University
55/6447;University of Duisburg-Essen
55/3523-1;Worcester Polytechnic Institute
55/4540;Monash University
55/4158;EURECOM
55/925;New York University
55/608;UNICAMP
55/5804;University of Waikato
55/2512;TU Delft
55/2304;University of Hawaii at Manoa
55/6007;USTC
55/8911;Georgia Institute of Technology
55/4104-3;UESTC
55/1793;Chalmers/GU
55/7502;Pennsylvania State University
55/2743;TU Chemnitz
55/6151;McMaster University
55/1942;University of Essex
55/6097;Tokyo Institute of Technology
55/3115;Chalmers/GU
55/866;National Taiwan University
55/1817;Peking University
55/8165;Shanghai Jiao Tong University
55/3895;University of New Orleans
55/3346;Max Planck Society
55/3410-1;KAIST
55/2636;University of Tsukuba
55/957-1;Temple University
55/2270-11;University of Massachusetts Amherst
55/11299;Univ. of California - Irvine
55/3942;Rutgers University
55/1254-1;Renmin University of China
55/11192;Univ. of California - San Diego
55/2424;Fudan University
55/4092;Humboldt University of Berlin
55/887;York University
55/3065;Humboldt University of Berlin
55/61;Graz University of Technology
55/4599;University of Canterbury
55/10087;SUSTech
55/1433;Georgetown University
55/3585;Middlesex University
55/957-6;Fudan University
55/3697;Texas A&M University
55/2716;CUNY
55/335;Queen’s University
55/6749-1;University of Massachusetts Lowell
55/1463;Karlsruhe Institute of Technology
55/10607;KAIST
55/7618;SUTD
55/2640;York University
55/5180;Univ. of Illinois at Urbana-Champaign
55/11008;University of Birmingham
55/2142;Bocconi University
55/1002;Carnegie Mellon University
55/5566;University of Edinburgh
55/7940;University of Nebraska
55/4931;Heriot-Watt University
55/1948;Naval Postgraduate School
55/6999;McMaster University
55/7770;Hunan University
55/6988;Michigan State University
55/2763;York University
55/3977;Purdue University
55/2162-1;Shanghai Jiao Tong University
55/4732;Zhejiang University
55/1484;Università della Svizzera italiana
55/2932;Universidade de Brasília
55/4748;Western Michigan University
55/5488;University of Crete
55/3589;Karlsruhe Institute of Technology
55/5532;University of Birmingham
55/1852;Iowa State University
55/1675;University College London
55/2538;University of Dundee
55/4128;University of Bamberg
55/3476;AUEB
55/4783;Florida Atlantic University
55/3227-1;University of Louisiana - Lafayette
55/2381;Mälardalen University
55/3477;University of Massachusetts Amherst
55/950;Carnegie Mellon University
55/4636;University of Bergen
55/684;University of Otago
55/5625;CWI
55/2270-25;Univ. of California - San Diego
55/4730-1;Nanyang Technological University
55/6301;Yonsei University
55/4177;Tokyo Institute of Technology
55/5525;University of Sydney
55/1672;University of Central Florida
55/4141;Birkbeck University of London
55/6577;University of Kiel
55/24;University of Hong Kong
55/2279;University of Trento
55/4672;Boise State University
55/6848;North Carolina State University
55/6056;USP
55/3147;Polytechnic University of Catalonia
55/5328;Kansas State University
55/1248;IIT Delhi
55/1665;University of South Carolina
55/5031;Peking University
55/4410;University of Melbourne
55/4418;University of Vermont
55/1910;Sapienza University of Rome
55/1247;University of Glasgow
55/3873;University College Dublin
55/7703;University of Warwick
55/11133;University of Hong Kong
55/2919;IIT Delhi
55/6739;Aarhus University
55/7901-1;Beihang University
55/1719-1;IIIT Delhi
55/9380;Clemson University
55/3921;University of Toronto
55/3630;Michigan State University
55/4663;Max Planck Society
55/5732;University of Hannover
55/6260-1;UNC - Charlotte
55/7992;University of Birmingham
55/1330;Stony Brook University
55/854;Kent State University
55/83;University of Guelph
55/745;University College London
55/4104-2;Florida International University
55/1119;University of Central Florida
31/1161;Emory University
31/8746;University of Massachusetts Amherst
31/9547;Graz University of Technology
31/3990;UESTC
31/8178;Tel Aviv University
31/1913;Politecnico di Milano
31/4596;University of Piraeus
31/985;Stanford University
31/1952;American University of Beirut
31/6990;University of York
31/5408;CUNY
31/5242;Western Michigan University
31/6601-1;Shanghai Jiao Tong University
31/4697;Maastricht University
31/7062;KAIST
31/9117;Utrecht University
31/1207;Kyungpook National University
31/2621;University of Oxford
31/6019;HUST
31/5019;KU Leuven
31/3681;University of Helsinki
31/2342;University of Cape Town
31/6916-1;University of South Florida
31/5619;King's College London
31/6916-5;University of Central Florida
31/3455;Univ. of California - Irvine
31/6598;George Mason University
31/10644;Boise State University
31/789;University of Cambridge
31/1089;UNICAMP
31/6683;University of Copenhagen
31/4579;USP-ICMC
31/891-1;Tsinghua University
31/2800;Simon Fraser University
31/6569;Charles University
31/4420;University of Manchester
31/4118;USP-ICMC
31/5438;Univ. of California - Davis
31/3676;KAIST
31/6007;Ecole Normale Superieure de Lyon
31/4980;University of Notre Dame
31/8428;Universidad Nacional de Córdoba
31/7003;National Tsing Hua University
31/3605;George Mason University
31/910;Aarhus University
31/6028;University of Texas at San Antonio
31/2214;Yonsei University
31/3062;TU Wien
31/393;McMaster University
31/5694;University of Toronto
31/5940;Carnegie Mellon University
31/6363;University of Salerno
31/6484;Columbia University
31/4556;Tokyo Institute of Technology
31/7475-1;Missouri S&T
31/7137;George Mason University
31/5444;University of Innsbruck
31/5468;Johns Hopkins University
31/589;Louisiana State University
31/1277;City University of Hong Kong
31/1579;University of Alabama - Birmingham
31/3488;Ohio State University
31/5210;University of Warsaw
31/2607;University of Waterloo
31/4750;Utrecht University
31/1431;Syracuse University
31/5772;Zhejiang University
31/4501-1;University at Buffalo
31/9214;University of Chicago
31/4699;Karlsruhe Institute of Technology
31/4458;University of Utah
31/1273;EPFL
31/5805;Monash University
31/9013;University of Houston
31/739;Carnegie Mellon University
31/8064;University of Connecticut
31/6437;Brandeis University
31/9698;University of Georgia
31/6124;Universidade de Lisboa
31/6692;University of Oxford
31/6475;ETS Montreal
31/6318;University of Erlangen–Nuremberg
31/5699;IIT Madras
31/1403;Rochester Institute of Technology
31/4624;Purdue University
31/2709;California Institute of Technology
31/9014;Georgetown University
31/6058;University of Warsaw
31/4385;IIT Hyderabad
31/5370;IIT (BHU) Varanasi
31/7561;CISPA Helmholtz Center
31/5649;Chinese University of Hong Kong
31/1732;George Mason University
31/3265;Heriot-Watt University
31/5817;University of Tsukuba
31/8127;University of Waterloo
31/3092;University of Bergen
31/4899;Politecnico di Milano
31/6907;Shanghai Jiao Tong University
31/8302;Univ. of California - Riverside
31/0;Université libre de Bruxelles
31/6289;University of Melbourne
31/6599;Ecole Normale Superieure
31/3227;Texas A&M at Qatar
31/3652;University of Waikato
31/3256;University of Southern California
31/149;University of Szeged
31/5587-2;Tampere University
31/725;Monash University
31/4558;TU Berlin
31/6394;Federal University of Rio Grande
31/6810;University of Miami
31/9969;Univ. of California - Berkeley
31/5391;Naval Postgraduate School
31/5990;Beihang University
31/1371;DePaul University
31/10384;University of Montreal
31/7503;Massachusetts Institute of Technology
31/5664;Nanjing University
31/6421;Université Laval
31/2518;Monash University
31/1735;Bar-Ilan University
31/11029;University of Washington
31/6616;ETH Zurich
31/4072;KU Leuven
31/5916-1;University of Chicago
31/2674;University of Montreal
31/4490;University of Tokyo
31/6286;University of Trento
31/4114;Tsinghua University
31/8315;Univ. of California - Santa Cruz
31/3833;Northeastern University
31/1929;University of Warwick
31/4769;University of Arkansas
31/9520;University of Buenos Aires
31/3145;Radboud University
31/6451;University of Tsukuba
31/10489;Fudan University
31/3223;Aberystwyth University
31/6085;Ohio State University
31/11062;Georgetown University
31/893;Queen Mary University of London
31/587;University of Leeds
31/4309;University of Innsbruck
136/8740;University of Maryland - College Park
136/8334;College of William and Mary
136/5648;Durham University
136/8375;IIT (BHU) Varanasi
136/0957;University of Waterloo
136/8374;Imperial College London
136/8003;Xidian University
136/8404;ETH Zurich
136/9233;Imperial College London
136/4557;IIIT Hyderabad
136/8343;CISPA Helmholtz Center
136/5825;UESTC
136/9640;University of Essex
136/5049;University of Maryland - College Park
136/3648;De La Salle University
136/8736;Univ. of California - San Diego
136/7883;Virginia Tech
136/3467;Xi'an Jiaotong University
136/4807;IIT Jodhpur
136/0280;Hebrew University of Jerusalem
136/4698;IIIT Delhi
136/0900;Sun Yat-sen University
136/4531;University of Massachusetts Lowell
136/2317;UFMG
136/1074;Cleveland State University
136/8705;Technion
136/9791;IISc Bangalore
136/0857;Univ. of California - Santa Barbara
136/7882;IIT Guwahati
136/8452;Radboud University
136/9528;TU Munich
136/8461;Ruhr-University Bochum
136/5237;Brigham Young University
136/1154-1;Shenzhen University
136/5128;University of Massachusetts Lowell
136/8382;North Carolina State University
136/9440;Pennsylvania State University
136/5469;Shanghai Jiao Tong University
a/JohnKAntonio;University of Oklahoma
a/JimAustin;University of York
a/LeonardMAdleman;University of Southern California
a/AmyWApon;Clemson University
a/EytanAdar;University of Michigan
a/EthemAlpaydin;Özyeğin University
a/BaruchAwerbuch;Johns Hopkins University
a/EAarseth;IT University of Copenhagen
a/ArnaldodeAlbuquerqueAraujo;UFMG
a/TarekFAbdelzaher;Univ. of Illinois at Urbana-Champaign
a/GadyAgam;Illinois Institute of Technology
a/MohammadAliAbam;Sharif University of Technology
a/NourAli;Brunel University London
a/HansAkkermans;VU Amsterdam
a/NMAmato;Univ. of Illinois at Urbana-Champaign
a/TAura;Aalto University
a/TorbenAmtoft;Kansas State University
a/RAlur;University of Pennsylvania
a/WilliamAiello;University of British Columbia
a/VirgilioAlmeida;UFMG
a/SamsonAbramsky;University College London
a/SGAkl;Queen’s University
a/CarlisleMAdams;University of Ottawa
a/WGAref;Purdue University
a/LAlvisi;Cornell University
a/MikhailJAtallah;Purdue University
a/PAmmann;George Mason University
a/GAgrawal;Augusta University
a/YAzar;Tel Aviv University
a/KRApt;University of Warsaw
a/SusanneAlbers;TU Munich
a/DanielAmyot;University of Ottawa
a/EAllender;Rutgers University
a/MHAmmar;Georgia Institute of Technology
a/VenkateshAkella;Univ. of California - Davis
a/GulAAgha;Univ. of Illinois at Urbana-Champaign
a/HanyHAmmar;West Virginia University
a/NatashaAlechina;Utrecht University
a/GAttardi;University of Pisa
a/AnastassiaAilamaki;EPFL
a/AdityaAkella;University of Texas at Austin
a/IAhmad;University of Windsor
a/PeterKAllen;Columbia University
a/MaraAbel;UFRGS
a/YiannisAloimonos;University of Maryland - College Park
a/AAgarwal;Massachusetts Institute of Technology
a/RonaldCArkin;Georgia Institute of Technology
a/LuigiaCarlucciAiello;Sapienza University of Rome
a/GustavoAlonso;ETH Zurich
a/SergeAbiteboul;Ecole Normale Superieure de Cachan
a/GiorgioAusiello;Sapienza University of Rome
a/FAubert;CRIStAL
a/SAdali;Rensselaer Polytechnic Institute
a/DivyakantAgrawal;Univ. of California - Santa Barbara
a/PieterAbbeel;Univ. of California - Berkeley
a/ColinAtkinson;University of Mannheim
a/ArturoAzcorra;IMDEA Networks Institute
a/TulayAdali;Univ. of Maryland - Baltimore County
a/JungHoAhn;Seoul National University
a/TerriKAttwood;University of Manchester
a/AndreaCArpaciDusseau;University of Wisconsin - Madison
a/SahinAlbayrak;TU Berlin
a/IraAssent;Aarhus University
a/AAiken;Stanford University
a/ToddMAustin;University of Michigan
a/GregoryRAndrews;University of Arizona
a/DJAbadi;University of Maryland - College Park
a/ManindraAgrawal;IIT Kanpur
a/ErikaAbraham;RWTH Aachen
a/SPAmarasinghe;Massachusetts Institute of Technology
a/GuidoAraujo;UNICAMP
a/MarcAlexa;TU Berlin
a/BAronov;New York University
a/JMAtlee;University of Waterloo
a/AnnelieseAmschlerAndrews;University of Denver
a/PAAbdulla;Uppsala University
a/AndreasSAndreou;Cyprus University of Technology
a/CanAlkan;Bilkent University
a/GDAbowd;Northeastern University
a/NataliaVAndrienko;City University of London
a/GitaAlaghband;University of Colorado - Denver
a/KarlAberer;EPFL
a/SAluru;Georgia Institute of Technology
a/TarekSAbdelrahman;University of Toronto
a/AAmir;Bar-Ilan University
a/JuanCarlosAugusto;Middlesex University
a/AVAho;Columbia University
a/AnnieIAnton;Georgia Institute of Technology
a/JamesAspnes;Yale University
a/WilMPvanderAalst;TU Eindhoven
a/ShlomoArgamon;Illinois Institute of Technology
a/MiguelAAlonso;University of A Coruña
a/TorMAamodt;University of British Columbia
a/HagitAttiya;Technion
a/AmrElAbbadi;Univ. of California - Santa Barbara
a/VikramanArvind;IMSc
a/AnkurAgarwal;Florida Atlantic University
a/GAsadi;Sharif University of Technology
a/DavidGAndersen;Carnegie Mellon University
a/MAksit;TOBB ETÜ
a/RedaAAmmar;University of Connecticut
a/AbbesAmira;Qatar University
a/MikeDAtkinson;University of Otago
a/HAbelson;Massachusetts Institute of Technology
a/RuthAylett;Heriot-Watt University
a/MalcolmPAtkinson;University of Edinburgh
a/MAtiquzzaman;University of Oklahoma
a/BKAichernig;Graz University of Technology
a/AngelaArapoyanni;University of Athens
a/AArora;Ohio State University
a/DharmaPAgrawal;University of Cincinnati
a/MSAckerman;University of Michigan
a/HRArabnia;University of Georgia
a/GailJoonAhn;Arizona State University
a/AmalAhmed;Northeastern University
a/FredSAnnexstein;University of Cincinnati
a/CristianaAmza;University of Toronto
a/HaizhouAi;Tsinghua University
a/AliaIAbdelmoty;Cardiff University
a/EAndre;University of Augsburg
a/SvenApel;Saarland University
a/EricAtwell;University of Leeds
a/KlausDieterAlthoff;University of Hildesheim
a/SrinivasAkella;UNC - Charlotte
a/SNArtemov;CUNY
a/UriMAscher;University of British Columbia
a/DanielGAliaga;Purdue University
a/AshokKAgrawala;University of Maryland - College Park
a/JoseNelsonAmaral;University of Alberta
a/GiovanniAgosta;Politecnico di Milano
a/JFAllen;University of Rochester
a/PankajKAgarwal;Duke University
a/RJAnderson;University of Cambridge
a/Arvind;Massachusetts Institute of Technology
a/SArora;Princeton University
a/VincenzoAmbriola;University of Pisa
a/MAuguston;Naval Postgraduate School
a/JamesHAnderson;University of North Carolina
a/JohnAycock;University of Calgary
a/TAmagasa;University of Tsukuba
a/ThomasEAnderson;University of Washington
a/RemziHArpaciDusseau;University of Wisconsin - Madison
a/GennadyLAndrienko;City University of London
a/AgnarAamodt;NTNU
a/PCAttie;Augusta University
244/3222;Massey University
244/2005;UFMG
200/0153;University of Illinois at Chicago
200/1023;DTU
200/1860;Augusta University
200/7985;Iowa State University
200/1567;Augusta University
200/8803;University of Cambridge
200/7923;University of Iowa
03/5448;New York University
03/1865;IUPUI
03/7089;UESTC
03/6451-1;Chinese Academy of Sciences
03/1434;University of Sheffield
03/5501;University of North Carolina
03/4112;SUFE
03/3843;Yale University
03/4514;Kyungpook National University
03/10570;ShanghaiTech University
03/5651;University of Edinburgh
03/5646;Université Laval
03/2783;Oregon State University
03/489;RMIT University
03/6214;NTNU
03/3188;KTH Royal Institute of Technology
03/418;Australian National University
03/4886;University of Athens
03/1595;Carnegie Mellon University
03/7603;University of Edinburgh
03/5142;Florida State University
03/5844;University of Copenhagen
03/6463;Texas A&M University
03/3777;Heriot-Watt University
03/6365;University of Wroclaw
03/2293;Northwestern University
03/6565;VU Amsterdam
03/5617;UFF
03/2879;University of Nebraska - Omaha
03/4374;Ohio State University
03/3914;University of Hamburg
03/1347;Chalmers/GU
03/3669;Univ. of California - Santa Barbara
03/11148;DTU
03/7444;CRIStAL
03/4491;University of Saskatchewan
03/4883;Princeton University
03/10460;University of St Andrews
03/4160;Ecole Normale Superieure de Lyon
03/3331;Univ. of California - San Diego
03/1805-4;ShanghaiTech University
03/6880;University of Erlangen–Nuremberg
03/1578;University of Adelaide
03/4484;TU Braunschweig
03/10548;University of Southern California
03/5499;Indiana University
03/1960;McMaster University
03/4045;IIIT Hyderabad
03/107;University of Buenos Aires
03/5688;University of Cambridge
03/9437;Duke University
03/5287-4;University of Kentucky
03/5268;Chalmers/GU
03/1245;Rutgers University
03/1153;University of Montreal
03/1639;University of Trento
03/7058;University of Massachusetts Amherst
03/1787;Friedrich Schiller University Jena
03/5225-1;University of North Carolina
03/3779;University of Colorado Boulder
03/2176;Hebrew University of Jerusalem
03/5053;University of A Coruña
03/3520-2;Univ. of Illinois at Urbana-Champaign
03/2079;Fudan University
03/10592;University of Otago
03/2668;Hacettepe University
03/587-1;BUPT
03/9962;University of Wisconsin - Madison
03/3584;Goethe University Frankfurt
03/335;UFMG
03/57;Univ. of California - Davis
03/1468;Durham University
03/3384;Open University UK
03/1909;University of Adelaide
03/2122;University of Rochester
03/6174;Tsinghua University
03/2040;Yıldız Technical University
03/5761;University of Saskatchewan
03/5767;Polytechnic University of Catalonia
03/1116;University of Tübingen
03/6144;Illinois Institute of Technology
03/16;Tampere University
03/1145;Radboud University
03/4633;Univ. of California - Santa Barbara
03/7067;University of Liverpool
03/505;University of Melbourne
03/5598;CRIStAL
03/8928;University of Utah
03/9964-1;Binghamton University
03/1746;AUEB
03/9135;Georgia Institute of Technology
03/4732;Osaka University
03/4195;CRIStAL
03/1543;University of Manchester
03/711;National Taiwan University
03/8155;Carnegie Mellon University
03/4680;Tsinghua University
03/2412;Rochester Institute of Technology
03/4230;ShanghaiTech University
03/6428;University of Maryland - College Park
03/1094-13;University of Texas at Dallas
03/3233;Politecnico di Milano
03/330;Fudan University
03/5683;University of North Carolina
03/698;Middle East Technical University
03/2511-3;Loughborough University
03/5014;CRIStAL
03/10240;University of Southampton
03/4878;ShanghaiTech University
03/315;Vanderbilt University
03/6674;University of Tokyo
03/5398;Carleton University
03/5349;KMUTNB
03/6058;York University
03/1138;University of Queensland
03/10800;Shenzhen University
03/4038;University of Bristol
03/5951;University of St Andrews
03/2760;KAIST
03/9185;Univ. of California - Santa Cruz
03/2361;New Mexico Tech
03/2663;University of Cambridge
03/2611-7;Nanjing University
03/6301;Heidelberg University
03/3274;Louisiana Tech University
03/4041;EPFL
03/4048;Univ. of Illinois at Urbana-Champaign
03/1419;University of Southern Mississippi
03/1491;CUNY
03/4226;IIT Guwahati
03/5773;Oregon State University
03/5973;Northeastern University
03/4972;University of Nottingham
03/5833;Xidian University
03/651;University of A Coruña
03/3147;Texas A&M University
03/4264;University of Salerno
03/5847-1;Oregon State University
03/7567;POSTECH
03/3627;Universidade de Lisboa
03/710;Xidian University
03/3634;Zhejiang University
03/405;Beihang University
03/5237;Bar-Ilan University
03/1848;Vanderbilt University
03/4630;Univ. of Illinois at Urbana-Champaign
03/2323;Osaka University
03/5693;University of Southampton
03/4517;Texas A&M University
03/6629;University of Michigan
03/2822;Ecole Normale Superieure de Lyon
03/4401;University of Tennessee
03/995;Yale University
03/281;University of Pittsburgh
03/427;University of St Andrews
03/854;Purdue University
03/5097;Georgia Institute of Technology
03/2611-5;Tsinghua University
03/4169;CUNY
03/601;CMI
03/1876;IIT Madras
03/10323;Xidian University
142/7142;VU Amsterdam
142/9348;University at Buffalo
142/2461;Univ. of California - Irvine
142/8265;Carnegie Mellon University
142/0099;USP
142/3014;KAIST
142/3048;IT University of Copenhagen
142/9132;West Virginia University
142/1671;Naval Postgraduate School
142/6631;Cardiff University
142/3203;Georgia Institute of Technology
142/4530;University of Southampton
142/9280;King Abdulaziz University
142/1256;SUSTech
142/2548;Qatar University
142/3208;University of Texas at Austin
142/3134;TU Delft
142/2821;University of Essex
142/9844;University of New Orleans
142/1387;Stevens Institute of Technology
142/3092;Heriot-Watt University
142/2927;Imperial College London
142/7712;Chalmers/GU
142/8449;McGill University
142/1312;Peking University
142/3172;Rice University
313/5657;University of Murcia
313/6720;Vanderbilt University
b/JBryson;University of Bath
b/LucaBenini;ETH Zurich
b/AaronFBobick;Washington University in St. Louis
b/TorstenBraun;University of Bern
b/LaszloBabai;University of Chicago
b/StephenMBlackburn;Australian National University
b/AlfredMBruckstein;Technion
b/SBressan;National University of Singapore
b/FrancisRBach;Ecole Normale Superieure
b/SanghamitraBandyopadhyay;ISI Kolkata
b/ChristianBreiteneder;TU Wien
b/MichaelABender;Stony Brook University
b/KPBirman;Cornell University
b/SSBhowmick;Nanyang Technological University
b/RandallBerry;Northwestern University
b/LucBouge;Ecole Normale Superieure de Rennes
b/MichelBarbeau;Carleton University
b/TYBergerWolf;Ohio State University
b/ChristopheBobda;University of Arkansas
b/CristianaBolchini;Politecnico di Milano
b/MladenBerekovic;University of Lübeck
b/JOBorchers;RWTH Aachen
b/ChrisBaber;University of Birmingham
b/MichaelHBohlen;University of Zurich
b/MathieuBlanchette;McGill University
b/FBaader;TU Dresden
b/AmyBruckman;Georgia Institute of Technology
b/JohnMarkBishop;Goldsmiths University of London
b/DavidBremner;University of New Brunswick
b/AvdBosch;Radboud University
b/DavideBolchini;IUPUI
b/RichardSBird;University of Oxford
b/JonathanFBuss;University of Waterloo
b/AlanBundy;University of Edinburgh
b/PauloBorba;UFPE
b/BonnieBerger;Massachusetts Institute of Technology
b/MartinBichler;TU Munich
b/EBugnion;EPFL
b/MartinVButz;University of Tübingen
b/ChristianBorgelt;University of Konstanz
b/YBenAsher;University of Haifa
b/AnselmBlumer;Tufts University
b/DavidABasin;ETH Zurich
b/MichelBidoit;Ecole Normale Superieure de Cachan
b/ABode;TU Munich
b/PaulBeame;University of Washington
b/RJBrachman;Cornell University
b/NelsonBaloian;Universidad de Chile
b/LubomirBic;Univ. of California - Irvine
b/SylviaCBoyd;University of Ottawa
b/WolfgangWBein;University of Nevada Las Vegas
b/CarloBlundo;University of Salerno
b/WolframBurgard;University of Freiburg
b/OliverBimber;JKU Linz
b/AbrahamBernstein;University of Zurich
b/SteveBenford;University of Nottingham
b/RafaelHBordini;PUC-RS
b/PeterBrass;CUNY
b/TienDBui;Concordia University
b/AlexanderBarg;University of Maryland - College Park
b/ReuvenBarYehuda;Technion
b/EricBach;University of Wisconsin - Madison
b/KenBarker1;University of Calgary
b/HansJoachimBungartz;TU Munich
b/PetraBerenbrink;University of Hamburg
b/ShuvraSBhattacharyya;University of Maryland - College Park
b/HariBalakrishnan;Massachusetts Institute of Technology
b/BernhardBauer;University of Augsburg
b/PABloniarz;University at Albany - SUNY
b/StevenSBeauchemin;Western University
b/MattBishop;Univ. of California - Davis
b/FrancoisBaccelli;Ecole Normale Superieure
b/AchimDBrucker;University of Exeter
b/RyanBaker;University of Pennsylvania
b/JamesBailey;University of Melbourne
b/MichaelABauer;Western University
b/BenediktBollig;Ecole Normale Superieure de Cachan
b/RonaldBaecker;University of Toronto
b/EzioBartocci;TU Wien
b/PBose;Carleton University
b/MBertolotto;University College Dublin
b/VictorABraberman;University of Buenos Aires
b/FrankBellosa;Karlsruhe Institute of Technology
b/BarryWBoehm;University of Southern California
b/NievesRBrisaboa;University of A Coruña
b/ABestavros;Boston University
b/JohanBollen;Indiana University
b/LucianoBaresi;Politecnico di Milano
b/DirkBeyer1;LMU Munich
b/AzzedineBoukerche;University of Ottawa
b/PBarahona;Universidade NOVA de Lisboa
b/MelvinABreuer;University of Southern California
b/JoshuaCliffordBongard;University of Vermont
b/FredRMBarnes;University of Kent
b/JamesMBieman;Colorado State University
b/RBaldoni;Sapienza University of Rome
b/GerthStoltingBrodal;Aarhus University
b/PurandarBhaduri;IIT Guwahati
b/MBrianBlake;Drexel University
b/PaoloBientinesi;RWTH Aachen
b/MJBrooks;University of Adelaide
b/AlbertLaszloBarabasi;Northeastern University
b/IoanMariusBilasco;CRIStAL
b/BobbyBhattacharjee;University of Maryland - College Park
b/SamiSBrandt;IT University of Copenhagen
b/FahiemBacchus;University of Toronto
